code,name,latitude,longitude,use,closed
SCAB,El Alba,-33.658901,-71.289200,PVT,0
SCAC,Pupelde,-41.903900,-73.797501,PUB,0
SCAD,Grupo Tamarena,-33.716497,-70.976208,PVT,0
SCAE,El Buitre,-18.510000,-70.289167,MIL,0
SCAH,Tolquién,-42.449444,-73.524722,PUB,0
SCAI,Curacautín,-38.431389,-71.923056,PVT,0
SCAK,Atacalco,-36.919444,-71.577500,PVT,0
SCAN,San Rafael,-32.814201,-70.646698,PUB,0
SCAP,Alto Palena,-43.611667,-71.805278,PUB,0
SCAQ,Arquilhué,-40.198299,-72.029198,PVT,0
SCAR,Chacalluta,-18.348611,-70.338611,PUB,0
SCAS,Cabo 1° Juan Román,-45.399167,-72.670000,PUB,0
SCAT,Desierto de Atacama,-27.261700,-70.779198,PUB,0
SCAV,Achibueno,-36.141944,-71.373889,PVT,0
SCAY,Ayacara,-42.307500,-72.787778,PUB,0
SCAZ,Azopardo,-54.479722,-68.936667,PVT,0
SCBA,Balmaceda,-45.914167,-71.690000,PUB,0
SCBB,Del Bio Bio,-37.587222,-72.503611,PVT,0
SCBD,El Boldal,-34.681000,-71.287220,PVT,0
SCBE,Barriles,-22.140833,-70.062500,PUB,0
SCBI,Pampa Guanaco,-54.050000,-68.809444,PUB,0
SCBL,El Porvenir,-33.273056,-71.522222,PVT,0
SCBN,Cotreumo,-40.400556,-72.661389,PVT,0
SCBQ,El Bosque,-33.559444,-70.685833,MIL,0
SCBT,Rincón Bonito,-42.028900,-72.096100,PVT,0
SCBU,Bureo,-35.871667,-71.831944,PVT,0
SCBV,Bellavista,-35.189722,-71.296667,PVT,0
SCCA,El Boldo,-35.970556,-72.225000,PUB,0
SCCB,Pedro Villarroel C.,-31.221944,-71.070278,PUB,0
SCCC,Chile Chico,-46.583081,-71.685369,PUB,0
SCCF,El Loa,-22.500000,-68.903056,PUB,0
SCCG,La Pelícana,-31.063900,-70.954399,PVT,0
SCCH,General  Bernardo O'Higgins,-36.582802,-72.031700,PUB,0
SCCI,Pdte. Carlos Ibañez del Campo,-53.003611,-70.853611,PUB,0
SCCK,Contao,-41.800000,-72.721111,PUB,0
